"","BIC","MAP","SPBIC"
"iso_combo3_134",-1275.43023335612,-165.09935382796,-1269.20369668684
"iso_combo3_135",-1392.14157179534,-281.810692267176,-1385.91503512605
"iso_combo3_136",-1350.95121175193,-240.620332223761,-1344.72467508264
"iso_combo3_137",-1346.94050433008,-236.609624801913,-1340.71396766079
"iso_combo3_138",-1346.23437448398,-235.903494955817,-1340.00783781469
"iso_combo3_139",-1354.24382657141,-243.912947043247,-1348.01728990212
"iso_combo3_140",-1356.2022095215,-245.871329993332,-1349.97567285221
"iso_combo3_141",-1145.09665965604,-34.7657801278741,-1138.87012298675
"iso_combo3_142",-1303.70338261382,-193.372503085655,-1297.47684594453
"iso_combo3_143",-1283.5464620812,-173.215582553032,-1277.31992541191
"iso_combo3_144",-1291.37306983979,-181.042190311626,-1285.1465331705
"iso_combo3_145",-1292.58562135234,-182.254741824179,-1286.35908468306
"iso_combo3_146",-1307.53079818999,-197.19991866183,-1301.30426152071
"iso_combo3_147",-1300.54364000511,-190.212760476941,-1294.31710333582
"iso_combo3_148",-1168.46010728429,-58.129227756125,-1162.233570615
"iso_combo3_149",-1353.71897670481,-243.388097176645,-1347.49244003552
"iso_combo3_150",-1374.53595726203,-264.205077733865,-1368.30942059274
"iso_combo3_151",-1380.292404284,-269.961524755839,-1374.06586761472
"iso_combo3_152",-1362.18981567061,-251.858936142448,-1355.96327900132
"iso_combo3_153",-1357.46042090429,-247.129541376122,-1351.233884235
"iso_combo3_154",-1190.93988592863,-80.6090064004675,-1184.71334925934
"iso_combo3_155",-1339.28258198201,-228.951702453849,-1333.05604531273
"iso_combo3_156",-1332.32491095477,-221.994031426602,-1326.09837428548
"iso_combo3_157",-1331.1537028699,-220.822823341737,-1324.92716620061
"iso_combo3_158",-1340.1455200206,-229.814640492431,-1333.91898335131
"iso_combo3_159",-1164.85161150727,-54.5207319791025,-1158.62507483798
"iso_combo3_160",-1370.07148463499,-259.740605106821,-1363.8449479657
"iso_combo3_161",-1383.56094488334,-273.230065355173,-1377.33440821405
"iso_combo3_162",-1370.58766340351,-260.256783875345,-1364.36112673422
"iso_combo3_163",-1178.3433390694,-68.0124595412362,-1172.11680240011
"iso_combo3_164",-1363.32462287279,-252.993743344627,-1357.0980862035
"iso_combo3_165",-1341.84683470149,-231.515955173328,-1335.6202980322
"iso_combo3_166",-1167.32715521248,-56.9962756843132,-1161.10061854319
"iso_combo3_167",-1360.99072743966,-250.6598479115,-1354.76419077038
"iso_combo3_168",-1155.60053848363,-45.2696589554702,-1149.37400181435
"iso_combo3_169",-1181.83479182485,-71.5039122966822,-1175.60825515556
"iso_combo3_170",-1384.12892614356,-273.798046615395,-1377.90238947427
"iso_combo3_171",-1367.45296362081,-257.122084092644,-1361.22642695152
"iso_combo3_172",-1314.47895788675,-204.148078358585,-1308.25242121746
"iso_combo3_173",-1261.75229423573,-151.421414707569,-1255.52575756645
"iso_combo3_174",-1399.32212778903,-288.991248260861,-1393.09559111974
"iso_combo3_175",-1330.9530208454,-220.622141317231,-1324.72648417611
"iso_combo3_176",-1376.5576910492,-266.226811521037,-1370.33115437991
"iso_combo3_177",-1370.74030296403,-260.409423435867,-1364.51376629474
"iso_combo3_178",-1374.56421387057,-264.23333434241,-1368.33767720129
"iso_combo3_179",-1336.67689211615,-226.346012587988,-1330.45035544686
"iso_combo3_180",-1199.15385293034,-88.8229734021749,-1192.92731626105
"iso_combo3_181",-1371.23794231618,-260.907062788014,-1365.01140564689
"iso_combo3_182",-1314.32160216461,-203.990722636441,-1308.09506549532
"iso_combo3_183",-1245.98492310027,-135.654043572103,-1239.75838643098
"iso_combo3_184",-1379.41310997225,-269.082230444086,-1373.18657330296
"iso_combo3_185",-1320.44694986375,-210.116070335589,-1314.22041319447
"iso_combo3_186",-1378.3915570329,-268.060677504732,-1372.16502036361
"iso_combo3_187",-1373.45694744272,-263.126067914552,-1367.23041077343
"iso_combo3_188",-1366.96451115471,-256.633631626544,-1360.73797448542
"iso_combo3_189",-1313.57335246108,-203.242472932914,-1307.34681579179
"iso_combo3_190",-1178.39487669535,-68.0639971671867,-1172.16834002606
"iso_combo3_191",-1294.24396017282,-183.913080644656,-1288.01742350353
"iso_combo3_192",-1212.88440984682,-102.553530318658,-1206.65787317753
"iso_combo3_193",-1409.24151227998,-298.910632751816,-1403.01497561069
"iso_combo3_194",-1368.9046886998,-258.573809171635,-1362.67815203051
"iso_combo3_195",-1396.24542774268,-285.914548214517,-1390.01889107339
"iso_combo3_196",-1377.69734165048,-267.366462122316,-1371.47080498119
"iso_combo3_197",-1369.17724656656,-258.846367038393,-1362.95070989727
"iso_combo3_198",-1344.06810427947,-233.73722475131,-1337.84156761019
"iso_combo3_199",-1212.13986757798,-101.808988049818,-1205.91333090869
"iso_combo3_200",-1203.311311254,-92.9804317258327,-1197.08477458471
"iso_combo3_201",-1382.23308345839,-271.902203930225,-1376.0065467891
"iso_combo3_202",-1317.50212514089,-207.171245612721,-1311.2755884716
"iso_combo3_203",-1334.59421449414,-224.26333496598,-1328.36767782486
"iso_combo3_204",-1316.37554086826,-206.044661340094,-1310.14900419897
"iso_combo3_205",-1330.43794467406,-220.107065145899,-1324.21140800478
"iso_combo3_206",-1290.57548071942,-180.24460119126,-1284.34894405014
"iso_combo3_207",-1154.74674707793,-44.4158675497624,-1148.52021040864
"iso_combo3_208",-1245.26565541701,-134.93477588885,-1239.03911874773
"iso_combo3_209",-1200.16195820994,-89.8310786817775,-1193.93542154065
"iso_combo3_210",-1247.01701446139,-136.686134933224,-1240.7904777921
